,group,visited
314,B,0
315,A,0
316,A,0
317,A,0
318,B,1
319,B,0
320,B,0
321,A,0
322,B,0
323,B,0
324,B,1
325,A,1
326,A,0
327,B,0
328,B,0
329,A,0
330,B,0
331,B,0
332,B,0
333,B,0
334,B,0
335,B,1
336,B,0
337,A,1
338,B,0
339,B,0
340,A,0
341,A,0
342,A,0
343,A,0
344,A,0
345,B,0
346,B,0
347,B,0
348,B,0
349,B,0
350,B,0
351,B,0
352,B,0
353,B,0
354,A,0
355,A,0
356,A,0
357,B,0
358,B,0
359,B,0
360,A,0
361,A,1
362,B,0
363,A,0
364,A,0
365,A,0
366,A,0
367,A,0
368,B,0
369,B,0
370,A,1
371,A,0
372,A,0
373,A,0
374,A,0
375,B,0
376,B,0
377,A,1
378,A,0
379,A,0
380,A,0
381,A,0
382,A,0
383,B,0
384,B,1
385,B,0
386,A,0
387,B,0
388,A,1
389,B,0
390,B,0
391,B,0
392,B,0
393,B,0
394,A,0
395,A,1
396,A,0
397,B,0
398,A,0
399,B,0
400,A,0
401,B,0
402,A,0
403,B,0
404,A,0
405,A,0
406,B,0
407,A,0
408,B,0
409,B,0
410,A,0
411,A,0
412,A,1
413,B,0
414,B,1
415,A,0
416,B,0
417,B,0
418,B,0
419,B,0
420,A,0
421,B,0
422,B,1
423,A,0
424,B,0
425,A,0
426,B,0
427,B,0
428,B,1
429,A,0
430,B,0
431,B,0
432,A,0
433,B,0
434,B,0
435,B,0
436,A,0
437,B,0
438,B,1
439,B,0
440,A,0
441,A,0
442,B,1
443,A,0
444,A,0
445,A,0
446,B,0
447,B,1
448,A,0
449,A,0
450,B,0
451,B,0
452,B,0
453,B,0
454,A,0
455,B,0
456,B,0
457,B,0
458,A,0
459,B,1
460,B,0
461,B,0
462,B,0
463,B,0
464,A,1
465,A,0
466,A,0
467,A,0
468,A,0
469,A,0
470,A,0
471,B,1
472,A,0
473,B,0
474,B,1
475,B,0
476,A,0
477,B,0
478,B,0
479,A,0
480,A,0
481,A,0
482,B,0
483,B,0
484,A,0
485,B,0
486,A,0
487,A,0
488,A,0
489,B,0
490,B,0
491,B,0
492,A,0
493,A,0
494,B,0
495,B,0
496,A,0
497,A,0
498,A,0
499,A,1
500,A,0
501,B,0
502,A,0
503,B,0
504,A,0
505,B,0
506,B,0
507,B,0
508,A,0
509,B,0
510,A,0
511,A,0
512,B,0
513,B,0
514,A,0
515,B,0
516,A,0
517,B,0
518,A,0
519,A,0
520,A,0
521,B,0
522,A,0
523,A,0
524,B,0
525,A,0
526,B,0
527,A,0
528,A,0
529,B,0
530,B,1
531,A,0
532,A,0
533,B,0
534,A,0
535,B,0
536,B,0
537,A,0
538,A,0
539,B,0
540,A,0
541,B,0
542,A,0
543,A,0
544,B,1
545,A,0
546,B,0
547,B,0
548,B,0
549,A,0
550,A,0
551,A,0
552,A,0
553,B,0
554,A,0
555,B,0
556,B,0
557,B,0
558,B,1
559,B,1
560,B,0
561,B,0
562,A,1
563,A,0
564,B,0
565,A,0
566,A,0
567,B,0
568,B,0
569,A,0
570,A,0
571,B,0
572,A,0
573,A,0
574,B,0
575,B,0
576,A,1
577,B,0
578,B,0
579,A,1
580,A,0
581,A,0
582,A,1
583,B,1
584,B,0
585,B,0
586,A,0
587,A,0
588,B,0
589,A,0
590,A,0
591,B,1
592,B,0
593,A,0
594,B,0
595,B,0
596,B,0
597,B,0
598,B,0
599,A,0
600,A,0
601,A,1
602,B,0
603,A,0
604,A,0
605,A,0
606,B,1
607,B,0
608,A,0
609,B,0
610,B,0
611,B,0
612,B,0
613,A,1
614,A,0
615,B,0
616,B,1
617,A,0
618,A,0
619,B,0
620,B,0
621,B,0
622,B,0
623,B,0
624,B,0
625,B,0
626,A,0
627,B,0
628,B,0
629,B,1
630,A,0
631,B,0
632,A,0
633,B,0
634,B,0
635,B,0
636,B,0
637,B,0
638,B,0
639,B,0
640,B,1
641,A,0
642,B,0
643,A,0
644,B,1
645,B,1
646,A,0
647,A,0
648,A,0
649,A,0
650,A,0
651,A,0
652,A,0
653,A,0
654,B,0
655,B,0
656,B,0
657,B,0
658,B,0
659,B,0
660,A,0
661,B,1
662,A,0
663,A,1
664,A,1
665,A,0
666,A,0
667,B,0
668,B,0
669,B,0
670,A,1
671,A,0
672,B,0
673,A,0
674,A,0
675,A,0
676,A,0
677,B,0
678,B,1
679,B,0
680,B,0
681,A,0
682,B,0
683,B,0
684,B,0
685,B,0
686,A,1
687,A,0
688,B,0
689,A,0
690,A,1
691,A,0
692,B,0
693,B,0
694,A,0
695,A,0
696,A,0
697,A,0
698,B,0
699,B,0
700,A,0
701,B,1
702,B,0
703,B,0
704,A,0
705,B,0
706,A,0
707,B,0
708,A,0
709,A,1
710,B,0
711,B,0
712,A,0
713,B,0
714,B,0
715,B,0
716,B,0
717,B,1
718,B,0
719,B,0
720,B,0
721,B,0
722,B,0
723,B,0
724,A,0
725,B,1
726,A,0
727,A,0
728,A,0
729,B,0
730,B,0
731,A,0
732,A,0
733,B,1
734,A,0
735,B,0
736,A,1
737,B,1
738,A,0
739,B,0
740,B,0
741,B,0
742,A,0
743,B,0
744,B,0
745,A,1
746,B,0
747,A,0
748,A,0
749,B,0
750,B,0
751,A,0
752,B,0
753,A,0
754,B,1
755,A,0
756,A,0
757,B,0
758,A,0
759,A,0
760,A,0
761,B,0
762,B,1
763,A,0
764,B,0
765,B,0
766,A,1
767,A,0
768,A,0
769,A,1
770,B,0
771,A,1
772,A,0
773,B,0
774,B,0
775,A,0
776,A,0
777,B,0
778,A,0
779,A,0
780,B,0
781,B,1
782,A,0
783,A,0
784,A,0
785,B,0
786,B,0
787,B,0
788,B,0
789,A,0
790,B,1
791,B,0
792,B,0
793,A,0
794,A,0
795,B,0
796,A,0
797,B,1
798,B,0
799,B,0
800,A,0
801,B,0
802,B,0
803,B,0
804,B,1
805,B,1
806,B,0
807,B,0
808,A,0
809,B,0
810,A,0
811,B,1
812,B,0
813,B,1
814,B,0
815,A,0
816,A,0
817,A,0
818,A,0
819,A,1
820,B,0
821,A,0
822,A,0
823,B,0
824,B,0
825,B,0
826,A,0
827,A,0
828,A,0
829,A,1
830,B,0
831,A,0
832,A,0
833,A,0
834,B,1
835,B,0
836,A,0
837,A,0
838,A,0
839,A,0
840,B,0
841,A,0
842,B,0
843,A,0
844,B,0
845,A,0
846,B,0
847,B,0
848,A,0
849,A,0
850,A,0
851,B,0
852,A,0
853,B,0
854,A,0
855,A,0
856,A,0
857,A,0
858,A,0
859,A,0
860,A,0
861,B,1
862,B,0
863,A,0
864,B,0
865,B,1
866,B,0
867,A,0
868,B,0
869,A,0
870,B,0
871,B,0
872,B,0
873,B,0
874,A,0
875,A,0
876,B,0
877,A,0
878,B,1
879,A,0
880,A,0
881,B,0
882,B,0
883,A,0
884,B,0
885,A,0
886,B,0
887,B,0
888,A,0
889,A,0
890,B,0
891,A,0
892,B,0
893,B,0
894,B,0
895,B,0
896,A,0
897,A,0
898,B,0
899,B,0
900,A,0
901,A,0
902,B,1
903,B,0
904,A,0
905,A,0
906,B,0
907,B,0
908,B,0
909,A,0
910,B,0
911,A,0
912,B,0
913,B,0
914,A,0
915,B,0
916,B,0
917,B,0
918,B,0
919,B,0
920,B,0
921,B,0
922,A,0
923,A,0
924,B,0
925,A,0
926,B,0
927,B,0
928,A,0
929,B,0
930,A,0
931,B,0
932,A,1
933,B,0
934,B,0
935,B,0
936,A,0
937,A,0
938,B,1
939,A,0
940,A,0
941,A,0
942,B,0
943,B,0
944,A,0
945,A,0
946,B,0
947,A,0
948,B,0
949,A,1
950,B,0
951,B,0
952,B,0
953,A,0
954,A,0
955,B,0
956,A,0
957,B,0
958,A,0
959,A,0
960,A,0
961,A,0
962,A,0
963,B,0
964,A,1
965,B,0
966,B,0
967,A,0
968,B,0
969,B,0
970,B,0
971,A,0
972,B,0
973,A,0
974,A,0
975,B,0
976,B,1
977,B,0
978,B,0
979,B,0
980,A,0
981,B,0
982,A,0
983,A,0
984,B,0
985,A,0
986,A,0
987,A,0
988,B,0
989,B,0
990,A,0
991,B,0
992,A,1
993,B,0
994,B,0
995,A,1
996,A,1
997,A,0
998,A,0
999,A,0
1000,B,0
1001,B,0
1002,B,0
1003,B,0
1004,A,0
1005,A,1
1006,B,0
1007,A,0
1008,A,0
1009,A,0
1010,B,0
1011,A,0
1012,B,0
1013,B,0
1014,A,0
1015,A,0
1016,B,0
1017,A,0
1018,B,0
1019,B,0
1020,B,0
1021,B,0
1022,B,0
1023,A,0
1024,A,0
1025,A,0
1026,A,0
1027,A,0
1028,A,1
1029,A,0
1030,B,0
1031,B,0
1032,B,0
1033,B,0
1034,B,0
1035,B,0
1036,B,0
1037,A,0
1038,A,0
1039,B,0
1040,A,0
1041,A,0
1042,B,0
1043,A,0
1044,A,0
1045,B,0
1046,A,0
1047,B,0
1048,A,1
1049,B,0
1050,A,0
1051,B,0
1052,B,0
1053,A,0
1054,A,0
1055,B,0
1056,A,0
1057,A,0
1058,A,0
1059,A,0
1060,A,0
1061,A,0
1062,A,0
1063,A,0
1064,B,0
1065,A,0
1066,B,0
1067,B,0
1068,A,0
1069,A,0
1070,B,0
1071,B,0
1072,A,0
1073,A,0
1074,A,1
1075,A,0
1076,B,0
1077,A,0
1078,B,1
1079,A,0
1080,B,0
1081,B,0
1082,B,0
1083,A,0
1084,B,0
1085,B,0
1086,A,0
1087,A,1
1088,A,0
1089,B,0
1090,B,0
1091,B,0
1092,A,0
1093,B,0
1094,A,1
1095,A,0
1096,B,0
1097,B,0
1098,A,0
1099,A,0
1100,A,0
1101,A,0
1102,B,0
1103,B,0
1104,B,0
1105,A,0
1106,B,0
1107,A,0
1108,A,0
1109,A,0
1110,A,0
1111,B,0
1112,A,0
1113,B,0
1114,A,1
1115,A,1
1116,B,0
1117,B,0
1118,A,0
1119,A,0
1120,A,1
1121,A,0
1122,B,0
1123,B,0
1124,A,0
1125,B,0
1126,A,0
1127,B,0
1128,B,0
1129,B,0
1130,A,0
1131,A,0
1132,B,0
1133,A,0
1134,A,0
1135,B,0
1136,A,0
1137,A,1
1138,B,0
1139,A,0
1140,B,0
1141,A,0
1142,A,0
1143,A,0
1144,B,0
1145,B,0
1146,B,0
1147,B,0
1148,B,0
1149,A,0
1150,B,0
1151,B,0
1152,B,0
1153,A,0
1154,A,0
1155,A,0
1156,B,0
1157,B,1
1158,A,0
1159,B,1
1160,A,0
1161,A,0
1162,A,0
1163,B,0
1164,A,0
1165,A,0
1166,B,0
1167,A,0
1168,A,0
1169,B,0
1170,A,0
1171,B,0
1172,A,0
1173,A,0
1174,A,0
1175,B,0
1176,B,0
1177,A,0
1178,A,0
1179,B,0
1180,B,0
1181,B,0
1182,A,0
1183,A,0
1184,A,0
1185,B,0
1186,B,0
1187,B,0
1188,A,0
1189,A,0
1190,A,0
1191,B,0
1192,B,0
1193,A,0
1194,A,0
1195,A,0
1196,A,0
1197,B,0
1198,B,0
1199,B,0
1200,A,1
1201,A,0
1202,B,1
1203,B,0
1204,A,0
1205,A,0
1206,B,0
1207,B,0
1208,B,0
1209,B,0
1210,B,0
1211,A,0
1212,B,0
1213,A,0
1214,B,1
1215,A,1
1216,A,0
1217,A,1
1218,A,0
1219,B,1
1220,B,0
1221,A,0
1222,A,0
1223,A,1
1224,A,0
1225,B,0
1226,A,0
1227,B,1
1228,B,1
1229,A,0
1230,B,0
1231,B,1
1232,A,0
1233,B,0
1234,B,0
1235,A,0
1236,B,0
1237,B,0
1238,A,0
1239,B,0
1240,A,0
1241,B,0
1242,A,1
1243,B,0
1244,B,0
1245,A,0
1246,A,0
1247,B,0
1248,A,0
1249,A,0
1250,B,0
1251,B,0
1252,A,0
1253,B,0
1254,B,0
1255,A,0
1256,A,0
1257,A,0
1258,A,0
1259,B,0
1260,B,0
1261,A,0
1262,B,0
1263,B,0
1264,A,0
1265,A,0
1266,B,0
1267,A,0
1268,B,0
1269,B,0
1270,B,0
1271,A,0
1272,B,0
1273,A,0
1274,A,0
1275,A,0
1276,B,0
1277,A,0
1278,A,0
1279,A,0
1280,A,0
1281,A,0
1282,B,0
1283,B,0
1284,A,0
1285,A,0
1286,B,0
1287,B,0
1288,B,0
1289,A,0
1290,B,0
1291,B,0
1292,B,0
1293,A,0
1294,B,0
1295,A,0
1296,B,0
1297,A,0
1298,B,0
1299,B,1
1300,B,0
1301,A,0
1302,B,0
1303,B,0
1304,B,0
1305,B,0
1306,A,0
1307,A,0
1308,B,0
1309,A,0
1310,A,0
1311,A,0
1312,A,0
1313,B,0
1314,B,0
1315,B,0
1316,B,0
1317,B,0
1318,A,1
1319,B,0
1320,B,0
1321,A,0
1322,A,0
1323,B,0
1324,B,0
1325,A,0
1326,B,0
1327,A,1
1328,A,0
1329,B,0
1330,A,0
1331,B,0
1332,B,0
1333,B,0
1334,A,0
1335,B,0
1336,B,0
1337,B,0
1338,A,0
1339,B,0
1340,A,0
1341,A,1
1342,B,0
1343,B,0
1344,A,0
1345,A,0
1346,B,0
1347,B,0
1348,B,1
1349,B,0
1350,A,0
1351,B,0
1352,A,0
1353,B,1
1354,A,0
1355,A,0
1356,A,0
1357,A,0
1358,B,0
1359,A,0
1360,B,0
1361,A,0
1362,B,0
1363,A,0
1364,B,0
1365,B,0
1366,A,0
1367,B,0
1368,B,0
1369,A,0
1370,B,0
1371,B,0
1372,A,0
1373,B,0
1374,B,0
1375,B,0
1376,A,0
1377,B,0
1378,B,0
1379,B,0
1380,B,0
1381,A,0
1382,B,0
1383,B,0
1384,A,0
1385,B,0
1386,B,0
1387,B,0
1388,B,0
1389,A,1
1390,B,0
1391,B,0
1392,B,0
1393,B,0
1394,B,0
1395,A,0
1396,B,0
1397,A,1
1398,A,0
1399,A,0
1400,B,0
1401,A,0
1402,A,0
1403,B,0
1404,B,0
1405,B,1
1406,A,0
1407,B,0
1408,A,0
1409,B,1
1410,B,0
1411,A,0
1412,B,0
1413,A,0
1414,B,1
1415,B,0
1416,A,0
1417,B,0
1418,A,0
1419,B,0
1420,A,0
1421,A,0
1422,A,0
1423,A,0
1424,B,0
1425,B,0
1426,B,0
1427,A,0
1428,A,1
1429,A,0
1430,B,0
1431,B,0
1432,B,0
1433,A,0
1434,B,0
1435,B,0
1436,A,0
1437,B,0
1438,A,0
1439,B,0
1440,B,0
1441,A,0
1442,A,0
1443,B,0
1444,A,0
1445,A,0
1446,A,0
1447,B,0
1448,B,0
1449,B,0
1450,A,0
1451,B,0
1452,A,0
1453,A,0
1454,B,0
1455,A,0
1456,A,0
1457,A,0
1458,B,1
1459,B,0
1460,A,0
1461,A,0
1462,B,0
1463,A,0
1464,A,0
1465,A,0
1466,B,0
1467,B,0
1468,A,0
1469,B,0
1470,A,0
1471,B,0
1472,B,1
1473,A,0
1474,A,0
1475,A,0
1476,B,0
1477,B,0
1478,A,0
1479,B,0
1480,B,0
1481,A,0
1482,B,0
1483,A,0
1484,B,1
1485,B,0
1486,B,0
1487,B,0
1488,A,0
1489,B,0
1490,B,1
1491,B,0
1492,A,0
1493,A,0
1494,B,1
1495,A,0
1496,B,1
1497,B,0
1498,B,0
1499,B,0
1500,B,1
1501,B,0
1502,B,1
1503,A,0
1504,A,0
1505,A,0
1506,B,0
1507,B,1
1508,A,0
1509,B,1
1510,A,0
1511,A,0
1512,B,0
1513,B,0
1514,B,0
1515,A,0
1516,A,0
1517,B,0
1518,B,0
1519,A,0
1520,A,0
1521,A,1
1522,A,0
1523,B,0
1524,B,0
1525,B,0
1526,B,0
1527,B,0
1528,B,1
1529,A,0
1530,B,0
1531,A,0
1532,A,0
1533,B,0
1534,B,1
1535,A,0
1536,B,0
1537,A,0
1538,A,0
1539,A,0
1540,B,0
1541,B,0
1542,A,0
1543,B,0
1544,B,0
1545,A,0
1546,A,0
1547,B,0
1548,A,0
1549,A,0
1550,B,0
1551,A,0
1552,B,0
1553,A,0
1554,B,0
1555,B,0
1556,B,0
1557,B,0
1558,B,0
1559,B,0
1560,A,1
1561,B,0
1562,A,1
1563,A,0
1564,A,0
1565,A,0
1566,B,0
1567,B,0
1568,B,0
1569,B,0
1570,B,0
1571,A,0
1572,A,0
1573,A,0
1574,A,0
1575,A,0
1576,A,0
1577,B,0
1578,A,0
1579,A,0
1580,A,0
1581,A,0
1582,A,0
1583,A,0
1584,A,0
1585,B,0
1586,B,0
1587,A,0
1588,A,0
1589,A,0
1590,B,1
1591,B,0
1592,A,0
1593,B,0
1594,B,0
1595,B,0
1596,A,0
1597,B,0
1598,B,0
1599,B,0
1600,B,0
1601,A,0
1602,A,0
1603,A,1
1604,B,1
1605,A,1
1606,A,0
1607,A,0
1608,A,0
1609,A,0
1610,B,1
1611,A,0
1612,B,0
1613,A,0
1614,B,0
1615,A,0
1616,A,0
1617,B,0
1618,B,0
1619,A,0
1620,B,0
1621,A,0
1622,A,0
1623,B,0
1624,A,0
1625,B,0
1626,A,0
1627,A,0
1628,B,0
1629,A,0
1630,A,0
1631,A,0
1632,A,0
1633,B,0
1634,A,0
1635,B,0
1636,A,0
1637,B,0
1638,A,0
1639,A,0
1640,A,0
1641,A,0
1642,B,0
1643,B,0
1644,A,1
1645,B,0
1646,B,0
1647,A,0
1648,A,0
1649,B,0
1650,A,0
1651,A,0
1652,A,0
1653,B,0
1654,A,0
1655,A,0
1656,A,0
1657,B,0
1658,A,0
1659,A,0
1660,B,0
1661,A,0
1662,A,0
1663,B,1
1664,B,0
1665,A,0
1666,B,0
1667,A,1
1668,B,1
1669,A,0
1670,B,0
1671,A,0
1672,A,0
1673,B,0
1674,A,0
1675,A,1
1676,A,0
1677,B,0
1678,B,0
1679,A,0
1680,B,0
1681,A,0
1682,A,0
1683,A,0
1684,B,0
1685,B,0
1686,A,0
1687,A,1
1688,B,0
1689,B,0
1690,B,0
1691,B,0
1692,A,0
1693,A,0
1694,A,0
1695,B,0
1696,A,0
1697,A,0
1698,B,1
1699,B,0
1700,A,0
1701,B,1
1702,B,0
1703,B,0
1704,B,0
1705,B,0
1706,A,1
1707,B,0
1708,B,0
1709,A,1
1710,A,0
1711,B,1
1712,A,0
1713,B,0
1714,B,0
1715,B,0
1716,A,0
1717,A,0
1718,A,0
1719,A,0
1720,B,0
1721,A,0
1722,A,0
1723,A,0
1724,A,0
1725,A,0
1726,A,0
1727,B,0
1728,B,0
1729,A,0
1730,A,0
1731,A,0
1732,A,0
1733,A,0
1734,B,0
1735,A,1
1736,B,0
1737,A,0
1738,B,0
1739,A,0
1740,B,0
1741,B,0
1742,A,0
1743,B,0
1744,A,0
1745,A,0
1746,B,0
1747,A,0
1748,A,1
1749,B,1
1750,B,0
1751,A,0
1752,A,1
1753,B,1
1754,B,1
1755,A,0
1756,A,0
1757,A,0
1758,B,0
1759,B,1
1760,A,0
1761,B,0
1762,B,0
1763,B,0
1764,B,1
1765,A,0
1766,A,0
1767,A,0
1768,B,0
1769,A,0
1770,B,0
1771,A,0
1772,A,0
1773,A,0
1774,A,0
1775,B,0
1776,A,0
1777,A,0
1778,A,0
1779,B,0
1780,B,1
1781,A,0
1782,A,0
1783,B,0
1784,A,0
1785,A,0
1786,B,0
1787,A,0
1788,B,0
1789,A,0
1790,A,0
1791,B,0
1792,A,0
1793,A,0
1794,B,0
1795,A,0
1796,A,0
1797,A,0
1798,A,0
1799,B,0
1800,B,1
1801,A,0
1802,A,0
1803,B,0
1804,A,0
1805,A,0
1806,A,1
1807,B,0
1808,B,0
1809,A,0
1810,B,0
1811,B,0
1812,A,0
1813,A,0
1814,A,0
1815,B,1
1816,B,1
1817,B,0
1818,A,0
1819,B,0
1820,A,0
1821,A,0
1822,A,0
1823,A,0
1824,A,0
1825,B,0
1826,A,0
1827,A,1
1828,B,1
1829,A,0
1830,A,0
1831,A,0
1832,B,0
1833,A,0
1834,A,0
1835,A,1
1836,B,0
1837,A,0
1838,B,1
1839,A,0
1840,A,0
1841,A,0
1842,A,0
1843,B,0
1844,B,0
1845,B,0
1846,B,0
1847,B,0
1848,A,0
1849,A,0
1850,B,0
1851,B,0
1852,A,0
1853,A,0
1854,A,0
1855,A,0
1856,B,0
1857,B,0
1858,A,0
1859,B,0
1860,B,0
1861,B,0
1862,A,0
1863,A,0
1864,B,0
1865,B,1
1866,B,1
1867,B,1
1868,A,0
1869,B,0
1870,B,0
1871,B,0
1872,B,0
1873,A,1
1874,B,0
1875,B,0
1876,A,0
1877,B,0
1878,A,0
1879,B,0
1880,A,0
1881,B,0
1882,A,1
1883,A,0
1884,B,1
1885,B,0
1886,B,0
1887,A,0
1888,B,0
1889,B,0
1890,A,0
1891,B,0
1892,B,1
1893,A,0
1894,B,1
1895,B,0
1896,B,0
1897,B,0
1898,A,0
1899,B,0
1900,A,0
1901,B,0
1902,B,0
1903,B,1
1904,B,0
1905,B,0
1906,B,0
1907,B,0
1908,B,0
1909,A,0
1910,B,0
1911,B,0
1912,B,1
1913,A,0
1914,A,0
1915,A,0
1916,B,0
1917,B,0
1918,A,1
1919,A,0
1920,B,0
1921,B,0
1922,B,0
1923,B,0
1924,A,0
1925,A,0
1926,B,0
1927,B,0
1928,B,0
1929,A,0
1930,A,1
1931,A,0
1932,A,0
1933,B,0
1934,A,0
1935,A,0
1936,A,0
1937,A,0
1938,B,0
1939,B,0
1940,B,0
1941,A,0
1942,B,0
1943,A,1
1944,B,0
1945,A,1
1946,B,0
1947,A,0
1948,B,0
1949,A,0
1950,B,0
1951,B,0
1952,A,0
1953,A,0
1954,A,0
1955,B,0
1956,A,0
1957,B,0
1958,B,0
1959,A,0
1960,B,0
1961,A,0
1962,A,0
1963,A,0
1964,A,0
1965,A,0
1966,A,0
1967,B,0
1968,B,0
1969,A,0
1970,B,1
1971,B,0
1972,B,0
1973,B,0
1974,A,1
1975,B,0
1976,B,0
1977,B,0
1978,B,0
1979,A,0
1980,A,1
1981,A,0
1982,B,0
1983,B,0
1984,B,0
1985,A,0
1986,B,0
1987,A,0
1988,A,0
1989,A,0
1990,B,0
1991,A,0
1992,A,0
1993,B,0
1994,B,0
1995,A,0
1996,A,0
1997,B,0
1998,B,0
1999,A,0
